time_ms,pwm,dist_cm
165,0,4.37
256,0,4.46
347,0,4.48
437,0,4.37
527,0,4.48
618,0,4.46
708,0,4.37
798,0,4.46
889,0,4.48
979,0,4.46
1070,0,4.48
1162,0,4.37
1253,0,4.46
1345,0,4.48
1436,0,4.36
1527,0,4.48
1619,0,4.48
1711,0,4.48
1802,0,4.48
1894,0,4.37
1985,0,4.46
2077,0,4.48
2168,0,4.37
2259,0,4.48
2352,0,4.46
2443,0,4.48
2534,0,4.48
2626,0,4.37
2717,0,4.48
2809,0,4.48
2900,0,4.36
2992,0,4.46
3084,0,4.46
3175,0,4.48
3266,0,4.48
3358,0,4.37
3449,0,4.48
3542,0,4.48
3633,0,4.36
3724,0,4.48
3816,0,4.48
3907,0,4.46
3998,0,4.48
4090,0,4.36
4182,0,4.48
4274,0,4.48
4365,0,4.36
4516,255,4.48
4616,255,5.56
4714,255,5.76
4813,255,6.84
4912,255,6.23
5011,255,6.59
5109,255,7.27
5209,255,8.47
5307,255,9.19
5407,255,10.44
5508,255,11.25
5609,255,12.09
5709,255,12.97
5811,255,13.69
5911,255,14.66
6012,255,15.40
6113,255,16.69
6214,255,17.05
6315,255,17.87
6416,255,19.16
6516,255,19.98
6618,255,20.41
6718,255,21.23
6819,255,22.48
6920,255,23.29
7021,255,24.06
7121,255,25.33
7223,255,25.64
7323,255,26.99
7425,255,27.71
7525,255,28.69
7626,255,29.82
7727,255,30.29
7828,255,31.13
7929,255,32.31
8030,255,33.60
8131,255,33.60
8231,255,34.42
8333,255,35.72
8433,255,36.39
8535,255,37.73
8635,255,38.52
8736,255,39.45
8837,255,39.70
8938,255,40.22
9038,255,40.99
9140,255,41.40
9240,255,42.57
9341,255,42.86
9441,255,44.68
9541,255,44.93
9640,255,45.81
9741,255,46.55
9840,255,47.47
9940,255,48.14
10040,255,49.07
10141,255,49.74
10242,255,50.56
10343,255,51.40
10494,255,52.17
10595,255,52.84
10694,255,53.22
10795,255,53.71
10894,255,52.84
10994,255,52.84
11094,255,52.84
11194,255,53.71
11293,255,53.61
11394,255,53.25
11493,255,54.02
11593,255,53.71
11693,255,52.84
11793,255,52.84
11892,255,52.86
11993,255,52.84
12092,255,52.84
12192,255,52.84
12292,255,52.84
12392,255,52.84
12491,255,52.84
12592,255,52.84
12691,255,52.84
12791,255,52.84
12891,255,52.84
12991,255,52.84
13090,255,52.84
13191,255,52.84
13290,255,52.84
13390,255,52.84
13490,255,53.23
13590,255,53.25
13689,255,52.84
13790,255,53.25
13889,255,52.84
13989,255,52.84
14089,255,52.84
14189,255,52.84
14288,255,52.84
14389,255,52.84
14488,255,52.84
14588,255,53.25
14688,255,52.84
14788,255,52.84
14887,255,52.84
14988,255,53.25
15087,255,52.84
15187,255,52.84
15287,255,52.84
15387,255,52.84
15486,255,52.84
15587,255,53.71
15686,255,53.23
15787,255,53.25
15886,255,53.61
15986,255,53.71
16086,255,53.61
16186,255,53.70
16285,255,53.61
16386,255,53.71
16485,255,54.02
16585,255,53.71
16685,255,52.84
16785,255,52.84
16884,255,52.84
16985,255,53.71
17084,255,53.61
17184,255,53.71
17284,255,53.61
17384,255,53.71
17483,255,53.61
17584,255,53.73
17683,255,53.61
17783,255,53.71
17883,255,53.61
17983,255,53.71
18082,255,52.84
18183,255,53.71
18282,255,53.61
18382,255,53.71
18482,255,53.61
18638,255,52.84
18740,255,52.17
18840,255,51.60
18941,255,51.76
19042,255,50.56
19143,255,49.74
19245,255,49.84
19345,255,48.14
19446,255,47.32
19547,255,46.48
19648,255,46.06
19748,255,44.83
19850,255,44.02
19950,255,43.18
20051,255,42.17
20152,255,41.78
20253,255,40.94
20354,255,39.70
20455,255,38.40
20555,255,37.58
20657,255,37.16
20757,255,36.75
20858,255,35.52
20959,255,35.57
21060,255,34.73
21160,255,33.49
21262,255,33.08
21362,255,32.21
21464,255,31.44
21564,255,30.65
21665,255,29.72
21766,255,29.00
21867,255,27.18
21967,255,26.93
22069,255,25.59
22169,255,24.82
22270,255,24.01
22372,255,23.24
22472,255,22.72
22574,255,21.59
22674,255,20.67
22775,255,19.89
22876,255,19.00
22977,255,18.23
23077,255,17.41
23179,255,16.58
23279,255,15.69
23380,255,14.87
23481,255,14.10
23581,255,13.17
23681,255,12.09
23781,255,11.16
23880,255,10.43
23980,255,9.50
24077,255,9.19
24175,255,7.96
24272,255,7.07
24371,255,6.53
24519,255,5.61
24615,255,5.20
24713,255,4.51
24809,255,4.53
24906,255,4.51
25003,255,4.41
25099,255,4.53
25196,255,4.42
25292,255,4.51
25390,255,4.53
25486,255,4.53
25583,255,4.51
25679,255,4.51
25777,255,4.53
25873,255,4.53
25970,255,4.51
26066,255,4.41
26163,255,4.53
26260,255,4.41
26356,255,4.53
26454,255,4.53
26550,255,4.51
26647,255,4.53
26743,255,4.53
26841,255,4.53
26937,255,4.42
27034,255,4.53
